City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
4,Ranjan'S,200.0,4.2,100,56,1,1,1,0,0,0,0,0,0,0
4,Balle Balle Dhaba,500.0,4.1,1000,59,0,1,1,0,0,0,1,0,0,0
4,Le Coffee Creme,600.0,3.9,50,68,1,0,0,1,0,0,0,0,0,1
1,Crystal Restaurant,350.0,3.9,1000,34,1,1,1,0,0,0,1,0,0,0
1,Bawarchi,300.0,3.9,10000,27,1,0,1,0,0,1,1,0,0,0
0,The Grill House - Steaks & Sizzlers,1100.0,4.2,100,52,0,0,0,0,0,1,0,0,0,1
1,Us Pizza,200.0,3.2,20,48,0,0,0,1,1,1,0,0,0,0
1,Surabhi Grand,300.0,4.0,500,45,1,1,1,0,0,0,0,0,0,0
1,Bluedragon By Mandilicious,300.0,4.2,20,34,1,0,0,0,0,0,0,0,0,0
1,Frosty Den,200.0,2.2,20,43,0,0,0,1,1,1,0,0,0,0
1,Sitara Grand - Nizami Pakwaan,300.0,3.6,100,62,1,1,1,0,0,0,1,0,1,0
3,Cheesiano Pizza,500.0,3.9,100,52,0,0,0,1,0,0,0,0,0,0
0,Venus Biryani,200.0,4.1,500,49,0,0,0,0,0,0,1,0,0,0
2,Rj Spice,450.0,4.1,20,55,1,0,0,1,0,0,0,0,0,0
3,Blue Nile,1000.0,4.2,1000,31,1,0,0,0,1,1,1,0,0,0
3,Carnival Restaurant & Bar,1000.0,4.2,100,64,1,1,1,0,0,0,0,0,0,1
3,Smokin' Joe'S,400.0,4.0,50,35,0,0,0,1,0,0,0,0,0,0
3,Chai - The Way You Like It,250.0,4.0,50,73,0,0,0,1,0,0,0,0,0,0
3,Mainland China,850.0,4.4,100,53,1,0,0,0,0,1,0,0,0,0
2,Theobroma,800.0,4.7,500,40,0,0,0,0,1,1,0,0,0,0
5,Deli 63,400.0,2.9,80,60,0,0,0,1,0,0,0,0,0,0
0,Food Paradise,326.0,3.9,100,53,1,1,1,1,0,0,0,0,0,0
0,Corner House Ice Cream,250.0,4.7,1000,31,0,0,0,0,0,1,0,0,0,0
4,Bachan'S Dhaba,250.0,4.3,5000,61,1,1,1,0,0,0,0,0,0,0
4,Mainland China,850.0,4.5,100,64,1,0,0,0,0,1,0,0,0,0
1,Chicha'S,200.0,3.8,500,40,0,0,1,0,0,0,1,0,0,0
3,Le Plaisir,1000.0,4.5,500,40,0,0,0,0,0,1,0,0,0,1
3,Cafe Goodluck,200.0,4.4,100,35,0,1,1,1,1,0,1,1,0,0
3,George Restaurant,600.0,4.3,1000,33,1,1,1,1,0,0,1,0,0,0
3,Marzorin,200.0,4.4,1000,33,0,0,0,1,1,1,0,1,0,0
2,Monica Chinese Fast Food,350.0,3.9,50,57,1,0,0,0,0,0,0,0,0,0
1,Kinara Grand,750.0,3.9,1000,58,1,1,1,0,0,0,1,0,0,0
0,Dal Roti Sabji,150.0,4.5,100,54,0,1,1,0,0,0,0,0,0,0
0,Mainland China,850.0,4.3,100,40,1,0,0,0,0,1,0,0,0,0
0,Shezan,600.0,4.3,100,44,1,1,1,0,0,0,0,0,0,1
0,Dolci Desserts,600.0,4.5,50,40,0,0,0,0,0,1,0,0,0,0
3,Subway,350.0,4.4,100,35,0,0,0,1,1,1,0,1,0,0
2,Smoke House Deli,600.0,4.4,100,48,0,0,0,0,0,1,0,0,0,0
3,Madinah,200.0,4.0,500,34,1,1,1,0,0,0,1,0,0,0
4,First Innings - The Stadel Hotel,800.0,4.5,20,69,1,1,1,0,0,0,0,0,0,1
1,Meghacity,500.0,4.4,1000,32,1,1,1,0,0,0,0,0,0,0
3,Salad Grills,300.0,4.3,100,63,1,1,1,1,0,0,0,0,0,1
0,Polar Bear,300.0,4.5,100,38,0,0,0,1,0,1,0,0,0,0
0,Miller'S 46,1100.0,4.4,100,47,0,0,0,0,0,0,0,0,0,1
0,Carnival De Goa,500.0,4.1,100,48,0,0,1,0,0,0,0,0,1,1
4,The Rouge,400.0,4.4,50,51,0,0,0,0,0,1,0,0,0,0
